headword,headword_raw,translation
გიმორჩქინელი,gimorCqineli,famous
გასაჩინე,gasaCine,riddle
გამორსა,gamorsa,exam
გიმოთირუა,gimoTirua,to change
გიშაჩინება,giSaCineba,to guess
მიდაღალა,midaRala,to extort
გიმოძახინი,gimoZaxini,to call
გიმორულაფა,gimorulafa,to have a good sleep
გითონწყუმა,giTonwyuma,to pull out
გითოხოხუა,giToxoxua,to crawl out
გიმორძღაფა,gimorZRafa,to sate
მიწოჭირინაფა,miwoWirinafa,e.g. a to stretch out hand
გიშაწვიება,giSawvieba,to cause
გითოწუალა,giTowuala,to suck out
გითოდარდუა,giTodardua,to train
გიმოწირუა,gimowirua,to squeeze
გიმოწურწუა,gimowurwua,to suck
გიშაჭკირუა,giSaWkirua,to cut out
გიმორჩქინა,gimorCqina,to express
გითოღალა,giToRala,to distill
გიმოჯინა,gimojina,to look out
გიმოჭანაფა,gimoWanafa,to call
დარსხება,darsxeba,to release from
გითოსხაპუა,giTosxapua,to leap out
გამჟღავნება,gamJRavneba,to reveal
გაბრელება,gabreleba,to multiply
გოღვანკუა,goRvankua,to bend
მოხანდე,moxande,hardworking
გაშხუშხარება,gaSxuSxareba,to thicken
გამუქება,gamuqeba,to darken
გამანგარება,gamangareba,to strengthen
გუმაჩამალი,gumaCamali,seller
ნოქარი,noqari,seller
მაჸინალი,maYinali,freezing
ალმაჸუნალი,almaYunali,guide
გოსქირაფა,gosqirafa,to dry
გარზე,garze,durable
განწარებული,ganwarebuli,embittered
გამწვანება,gamwvaneba,to turn green
ჩამწკრივება,Camwkriveba,to line up
გონებაგონწყუმილი,gonebagonwyumili,sharp-sighted
სუსთი,susTi,thin
გაცხადება,gacxadeba,to reveal
გახარება,gaxareba,to cheer up
გოხომაფილი,goxomafili,dried
იმენდიშ,imendiS,to encourage
ჸურშუა,YurSua,to hold one's breath
აკოსიროტუა,akosirotua,to destroy
განათება,ganaTeba,to light
ძგიდე,Zgide,outlying
კირდე,kirde,outlying
გოსკუალა,goskuala,to knot
გამნარყი,gamnaryi,quotient
განაჩენი,ganaCeni,verdict
გორთუალა,gorTuala,to distribute
განაწყენება,ganawyeneba,to offend
დაგვერდება,dagverdeba,to halve
გაახალება,gaaxaleba,to renew
განგაში,gangaSi,alarm
განგებ,gangeb,on purpose
უჩაშალა,uCaSala,to manage
განდგომა,gandgoma,to seclude from the society
გინოჸოთამა,ginoYoTama,to expel
ცქვაფა,cqvafa,to aggrandize
განდება,gandeba,to confide
წყორუა,wyorua,"to cool, to subside"
განერვიანება,ganervianeba,to make nervous
გოფაჩუა,gofaCua,to spread
გარძახო,garZaxo,purposely
განზრახვა,ganzraxva,to intend
მოფირქება,mofirqeba,to intend
გოთანა,goTana,dawn
სახელუანი,saxeluani,famous
რჩქინელი,rCqineli,famous
მაჟიაშა,maJiaSa,for the second time
გარისხება,garisxeba,to rage
გურაფილი,gurafili,educated
შხვანერი,Sxvaneri,different
ურჩქენჯი,urCqenji,undeveloped
უსქილადუ,usqiladu,incurable
უგურთალი,ugurTali,inseparable
უჩურცხალი,uCurcxali,integral
ჩათხუალა,CaTxuala,to divorce
დაშორება,daSoreba,to separate
დროშტარება,droStareba,pleasure
მიკოჯიკაფა,mikojikafa,to move
მოარზება,moarzeba,to foresee
გაორმაგება,gaormageba,to double
აუფება,aufeba,to sweat
გაორხება,gaorxeba,to spoil
გაორხებული,gaorxebuli,spoiled
გიმოტყობუა,gimotyobua,to go away secretly
ხოკუა,xokua,to shave
დოპენტუა,dopentua,to fluff up
გოწკირუა,gowkirua,to chop
გოლიფუა,golifua,to grease
გოსიროტუა,gosirotua,to exterminate
ჟონუა,Jonua,to leak
გოჟიჟინაფა,goJiJinafa,to saturate
ათორულაფა,aTorulafa,to run
გინოქიმინუა,ginoqiminua,to transform
გადაბანო,gadabano,transverse
გალე,gale,outdoor
ანგარია,angaria,appearance
ელმოლუ,elmolu,environment
ტყარი,tyari,wild
უმუშო,umuSo,without
გორჩხუალა,gorCxuala,to wash
ნახუა,naxua,to wash
შელება,Seleba,to cope with
ართუაფა,arTuafa,to entertain
დოფერცხელაფა,dofercxelafa,to fall full-length
გარიგა,gariga,to arrange
ჩქუმალა,Cqumala,to avoid
გაჩემება,gaCemeba,to grow torpid
მოგოთანე,mogoTane,dawn
გიშაჸოთამა,giSaYoTama,to expel
გარკვიება,garkvieba,to find out
მეგამა,megama,to slap
განმიკი,ganmiki,around
გარჩიება,garCieba,to discuss
ხანდა,xanda,hard work
ომბარალი,ombarali,to be inflated
გურიშ,guriS,irritating
გასაგონე,gasagone,"clear, understandable"
ორდალი,ordali,to be reared
გასათხუარი,gasaTxuari,single
ოლანძღარი,olanZRari,to be scolded
ოლასირალი,olasirali,to be sharpened
გასამართება,gasamarTeba,"to try, to put on trial"
იმენდიშ,imendiS,to be encouraged
გოსაპონუა,gosaponua,to soap
იორთუაფალი,iorTuafali,"entertainment, to be intertained"
ოსხუნალი,osxunali,to be husked
ოლახარი,olaxari,to be beaten
გასაღება,gasaReba,to sell
კილა,kila,key
გიშაჸონაფალი,giSaYonafali,to be taken away
გაფაჩალი,gafaCali,to be spread
გასაჩივრება,gasaCivreba,to appeal
გაკინალი,gakinali,to be moved aside
გასაჭირი,gasaWiri,trouble
გაჭირება,gaWireba,trouble
მუკანწყუმალი,mukanwyumali,dressing-room
გამანწყუმალი,gamanwyumali,opener
გიმულა,gimula,to go out
წიკუა,wikua,to make dirty
შინაფა,Sinafa,to swell
სინჯება,sinjeba,to taste
ზისხირუა,zisxirua,to stain with blood
გოხარცქა,goxarcqa,to burst out
სიროტუა,sirotua,to crush
ჸოთამა,YoTama,to shoot
გაბორება,gaboreba,to fool
გვანაფა,gvanafa,to fatten
გასქელება,gasqeleba,to make thicker
მანგო,mango,along
გაწორება,gaworeba,to correct
აწოწორაფა,awoworafa,to outrun
შხვაშა,SxvaSa,to alienate
სხუნუა,sxunua,to trim
გოზღილიტუა,gozRilitua,to slip
კასუა,kasua,to fill
ტახუა,taxua,to break
გომბარუა,gombarua,to stuff
გატუტელება,gatuteleba,to undress
გოკიდუა,gokidua,to partition
გინოჩურუა,ginoCurua,to squelch through
მიკორთინა,mikorTina,to turn
გომანუა,gomanua,to singe
გოტყაბარუა,gotyabarua,to skin
გოტახუა,gotaxua,to break
ჸოთამა,YoTama,to throw
გიმოტყურაფა,gimotyurafa,to lure
გაუფრაშება,gaufraSeba,to worsen
უწყარმაკე,uwyarmake,indecisive
გაუფასურება,gaufasureba,to simplify
უგუგებელი,ugugebeli,unclear
უგუგებელო,ugugebelo,unclearly
უგონუ,ugonu,unheard
უგუგონებელი,ugugonebeli,unheard
უგშურთუმუ,ugSurTumu,impassable
უგუთებუ,uguTebu,endless
უგუთხუ,uguTxu,single
უკეთებუ,ukeTebu,faulty
ურძღაფელა,urZRafela,insatiable
უშალაშინუ,uSalaSinu,unplaned
უგურკვიებელი,ugurkviebeli,uncertain
უგუტახუ,ugutaxu,unbroken
ურყი,uryi,unbroken
ფერიშ,feriS,to decolorize
უგუჩერებუ,uguCerebu,unstoppable
უმუსვანჯებუ,umusvanjebu,unstoppable
ტყობინი,tyobini,to disappear
უგუძიცუნუ,uguZicunu,unsmiling
უხენდუ,uxendu,untamed
უგუნწყუმუ,ugunwyumu,unopened
უმურთალი,umurTali,unfading
გაფართანება,gafarTaneba,to widen
გობუნაფა,gobunafa,to hang
გაფერადება,gaferadeba,to colour
გაუფერულება,gauferuleba,to pale (will make smb./
გოფირსუა,gofirsua,to tar
გაფირქება,gafirqeba,to think
გოფიცხინაფა,goficxinafa,to warm up
გოფართხალაფა,gofarTxalafa,to flutter
ზუკოლუა,zukolua,to warn
დოთომაფა,doTomafa,is usually said to rise about the dough
გოფალუა,gofalua,to blossom
დოქანცალაფა,doqancalafa,to swing
გინონქირაფა,ginonqirafa,"sorrow, greif to dash sorrow, greif"
გოზინდუა,gozindua,to pull
გაღარიბება,gaRaribeba,to become poor
გოკურცხინაფა,gokurcxinafa,to wake up
გოღვიღვინაფა,goRviRvinafa,to sprout
ელაძიცა,elaZica,to smile
მელე,mele,on the other bank/side of the river
დატომბარება,datombareba,to deepen
გოღუზუა,goRuzua,to crook
გიმოჸონაფა,gimoYonafa,to take smb./smth. out
გიმოჩამა,gimoCama,to sell
ჸუნა,Yuna,to accompany
გორთუალა,gorTuala,to divide
გიმორღვაფა,gimorRvafa,to expel
კილარღვაფა,kilarRvafa,to pass through
დაჸუნგება,daYungeba,to deafen
გაზება,gazeba,to part
ციკინაფა,cikinafa,to stretch
გასკუალება,gaskualeba,to give a child for the adoption
გაშინაურება,gaSinaureba,to feel as if beig at home
გობარჩხალუა,gobarCxalua,"to lighten, to illuminate"
გაჩემება,gaCemeba,to stop
გაჩერება,gaCereba,stop
გოჸურსუა,goYursua,to silence
გოჸურსილი,goYursili,silent
გაჩუქება,gaCuqeba,to gift
მითოძგიბაფა,miToZgibafa,to stick into
გაეშმაკება,gaeSmakeba,to become naughty
შირუა,Sirua,to wear out
გოთირუა,goTirua,to exchange
გაცილება,gacileba,to see off
გოძიცინი,goZicini,to make smb. laugh
გოჩინებაფა,goCinebafa,to acquaint
მოღორება,moRoreba,to disappoint
გაცხადება,gacxadeba,to declare
მიკოძახინი,mikoZaxini,to call
გაძვირება,gaZvireba,to rise a prise
გითოხოხინაფა,giToxoxinafa,to get through
გარზება,garzeba,"to resist, to endure"
გაძალიერება,gaZaliereba,to reinforce
გაძნელება,gaZneleba,to become difficult (will make smth
გეძნელებუ,geZnelebu,"difficult, will become difficult)"
გიშანწყუმა,giSanwyuma,to strip
გაწკუნწკება,gawkunwkeba,to become mean (will make smb. become
გეწკუნწკებუ,gewkunwkebu,"mean, will become mean)"
ეწოჯღონა,ewojRona,to lead
რძღაფა,rZRafa,to sate
გაწამება,gawameba,to torture
გოწაფუა,gowafua,to train
გოწაფილი,gowafili,trained
გაცუდება,gacudeba,to disappoint
გოზინდუა,gozindua,to outstretch
დოგრეშუა,dogreSua,to train
გაჭითარება,gaWiTareba,to redden
გამეტება,gameteba,to doom
დოხარჭალაფა,doxarWalafa,to tinkle
შორდუა,Sordua,to cane
პიჯიშ,pijiS,to chump
გოვარვალუა,govarvalua,to sparkle
გოწიმინდუა,gowimindua,to clean
ღაჭალუა,RaWalua,to become angry
გარჩელება,garCeleba,to turn grey
გაჯანჯლება,gajanjleba,to drawl
გაჭირება,gaWireba,to be at a loss
გაჭირებული,gaWirebuli,poor
გოჭკირუა,goWkirua,to cut
გოჭირჭინაფა,goWirWinafa,to creak
დაწინდარება,dawindareba,to make dirty
გომბარუა,gombarua,to overdrink
გახალისება,gaxaliseba,to become cheerful
მუკონწყუმა,mukonwyuma,to undress
გოხენდუა,goxendua,to break in
გოჩიჩინაფა,goCiCinafa,to harden
გოხომაფა,goxomafa,to dry
დოძახინი,doZaxini,to take aside smb
გოშინა,goSina,of to remind remaind
გონწყუმა,gonwyuma,to open
გოპიჩუა,gopiCua,to break fast
გოფურაფა,gofurafa,to heat
გაფხშირება,gafxSireba,to become more frequent
განჯარება,ganjareba,to rage
გაჯახირება,gajaxireba,to endure torture
მეჯგვაჯგვაფა,mejgvajgvafa,to slam
გორჯგიმუა,gorjgimua,to stretch
გოხუნა,goxuna,to soak with
ეგაფა,egafa,to build
გედი,gedi,swan
გემო,gemo,taste
გემუანი,gemuani,delicious
სი,si,my dear
სკუაჸონირი,skuaYoniri,stepson/stepdaughter
შხამუა,Sxamua,to poison
ჩხამი,Cxami,poison
ჩხამიანი,Cxamiani,poisonous
ბუჸუნი,buYuni,trough
ქოსუა,qosua,to sweep
გოლოფა,golofa,draught
გოლოფირი,golofiri,draughty
ძორი,Zori,corpse
გვარიანო,gvariano,fairly well
გვარისკუა,gvariskua,high-born
გვარ,gvar,high birth
გვერშაპი,gverSapi,dragon
გვერი,gveri,snake
წამება,wameba,to torture
ხასლას,xaslas,next to
ხასლაშ,xaslaS,lateral
გუმარა,gumara,fern
გუმარონი,gumaroni,ferny
გურგინი,gurgini,crown
ქვარაშ,qvaraS,to have stomach-ache
ტურტურუე,turturue,turtle-dove
შარა,Sara,way
ჯღონა,jRona,to send
შარაოკართუ,SaraokarTu,crossroads
გინდ,gind,"if you like, if you wish"
გორაფა,gorafa,to swear
გერგობა,gergoba,St. George's Day
გერგობათუთა,gergobaTuTa,November
ხანგა,xanga,crazy
დაგირება,dagireba,mortgage
გირაო,girao,pledge
გიოზუა,giozua,to plaster
გირჯონუა,girjonua,to tear
გილაჯირგინი,gilajirgini,to walk roughly
მარდობელი,mardobeli,thank you
მითოძგიბაფა,miToZgibafa,to caulk
მითმაძგიბუანს,miTmaZgibuans,to caulk
ღუმინუა,Ruminua,to groan
ჭიჭოლი,WiWoli,to buzz
კვაზუა,kvazua,to walk elegantly
ძღაბი,ZRabi,girl
კოპეშია,kopeSia,pumpkin
თვალუა,Tvalua,to lament
სარანჯი,saranji,comb of honey
ანგვარა,angvara,cattle-shed
ბაკი,baki,cattle-shed
გონება,goneba,mind
რჩქვენა,rCqvena,to think
გონდინაფილი,gondinafili,unconscious
ჭკუა,Wkua,consciousness
დიხაზურგა,dixazurga,hillock
კერკელი,kerkeli,to roll over
გორგოლია,gorgolia,roller
ფინია,finia,little dog
თუ,Tu,piglet
გარგაზი,gargazi,e.g. paper to roll
გურგინუა,gurginua,to thunder
გიროხუა,giroxua,to twist
რაბადი,rabadi,to rumble
გარაგანი,garagani,hurricane
რგილი,rgili,cool
გურგინი,gurgini,to rattle
გირძე,girZe,long
გუმე,gume,puddle
თოლიშ,ToliS,of an eye pupil
გუგული,guguli,cuckoo
გურგინი,gurgini,to buzz
ბარბანჩია,barbanCia,roaring fire
გურმანგარი,gurmangari,brave
გურეშალაფირი,gureSalafiri,smb.who has an inten
პიჯიეშე,pijieSe,supine
გურეჸოთამილი,gureYoTamili,demotivated
გურგოტახილი,gurgotaxili,disappointed
გურუგუტახუ,gurugutaxu,steady
გურგოღიტინაფილი,gurgoRitinafili,smb. whose chest/breast can be seen from the shirt
რგიი,rgii,indifferent
გურეჸოთამილი,gureYoTamili,indifferent
გურდოგურო,gurdoguro,doing smth. with great desire
გურჭყვადირო,gurWyvadiro,regretfully
გურჭყვადირი,gurWyvadiri,regretful
გურტიბუ,gurtibu,cordial
გურმენცარი,gurmencari,clairvoyant
გური,guri,heart
გურამი,gurami,hearty
გურიშ,guriS,heartbeat
ხუმა,xuma,heartbeat
გურიშმულა,guriSmula,ire
ფირქი,firqi,to mean
კეთილგურიში,keTilguriSi,kind-hearted
გურმანგარი,gurmangari,steady
გურმართალი,gurmarTali,truthful
გურკიდირი,gur-kidiri,breast
გურჸვილირი,gurYviliri,broken-hearted
გურხვიხვალი,gurxvixvali,cheerful
გურრკებული,gurrkebuli,unsatisfied
ალალი,alali,naive
გურფიცხე,gurficxe,hot-tempered
ქუაგურიშ,quaguriS,heartless
გური,guri,heart and liver
გურიშწაულა,guriSwaula,faint
გურფორილი,gurforili,reserved
გურჩქიჩქუ,gurCqiCqu,soft-hearted
უგურე,ugure,indifferent
გურმეშირილი,gurmeSirili,fainted
გურიჭითა,guriWiTa,robin
ართგურამი,arTgurami,frank
გუმანი,gumani,suspicion
გუნდა,gunda,snowball
გუნდუა,gundua,to play snowballs
ბუნა,buna,team
ბუნბუნათ,bun-bunaT,team
გოღანერი,goRaneri,yesterday's
გოღასერს,goRasers,last night
გოღაწოხ,goRawox,the day before yesterday
გოღაწოხოლენი,goRawoxoleni,of the day before yesterday
ლახალა,laxala,to disease
დაჰამება,dahameba,to soothe
დაანგარიშება,daangariSeba,to calculate
მეჭირინაფა,meWirinafa,to approximate
მიახლოებით,miaxloebiT,approximately
მეჭირინაფილი,meWirinafili,close
დაბადება,dabadeba,to bear
დაბალი,dabali,"low, short"
ჭიჭე,WiWe,"low, short"
დოჩაკალაფა,doCakalafa,to stagger
გვერგუა,gvergua,to cover with snow
ჩინა,Cina,to pass a message
ჭანაფა,Wanafa,"to invite, to summon"
გეჩხომაფა,geCxomafa,to bring luck luck)
აკონწყუმა,akonwyuma,to denounce
ბეჟუა,beJua,to beat
დოჟგართაფა,doJgarTafa,to throw down
დაგლახაკება,daglaxakeba,to become wretched
გოზიორუა,goziorua,to crack
დორზიალაფა,dorzialafa,to turn around
ეკორუმაფა,ekorumafa,to dusk
ეკორუმუა,ekorumua,to darken
ოკორუმაფილი,okorumafili,dusky
თუდო,Tudo,down
დალაგვება,dalagveba,to become blunt
რზენი,rzeni,lowland
დობერა,dobera,lowland
დოკირუა,dokirua,to tie
გურიშ,guriS,to faint
დორუმაფა,dorumafa,to darken
აბორჯებული,aborjebuli,confused
აბორჯება,aborjeba,confusion
პიწკინაფა,piwkinafa,to roast
დორთა,dorTa,to return
დოზოჯინი,dozojini,to sit down
დოჸონუა,doYonua,to nest
ბურძღინი,burZRini,to get pins and needles in arms and legs
აკოფორუა,akoforua,to cover
აკოფორილი,akoforili,covered
ელაბირძღაფი,elabirZRafi,to grab with hands
დორჩაფა,dorCafa,to lay out
გრეშუა,greSua,a dog to train
დაგინძარება,daginZareba,to lengthen
აკოჭვაჭვატუა,akoWvaWvatua,snow or meat to make snow balls
დავლაშ,davlaS,to paralyze
დამნაშავეთ,damnaSaveT,to accuse
დაღუა,daRua,to mark
დოდაღილი,dodaRili,marked
დადინჯება,dadinjeba,to calm
გაჩემება,gaCemeba,to silence
დაელანება,daelaneba,to become squint
დაეჭვება,daeWveba,to suspect
დარზენება,darzeneba,to move down the plain
დავალება,davaleba,to charge with
დაქომოლება,daqomoleba,to become a man
დოლაფა,dolafa,2. to weaken (will
დონთხაფილი,donTxafili,fallen
დოლაფირი,dolafiri,fallen
რცხონილი,rcxonili,combed
დაინწრება,dainwreba,to narrow
მოლება,moleba,to go to different places
ჯღვაბინი,jRvabini,to grab
დოლაფირი,dolafiri,feeble
დონჯირელი,donjireli,feeble
დაზოთება,dazoTeba,coming of winter
ზალა,zala,to knead
დაზიანება,dazianeba,to harm
ზუმინი,zumini,to bellow
ზოგება,zogeba,to spare
დოჸუნაფა,doYunafa,to agree
გოტიბაფა,gotibafa,to warm up
დოტიბაფა,dotibafa,to heat
თუნთი,TunTi,bear
დუდიშ,dudiS,to compromise
გეთუალა,geTuala,to snow
გეთიილი,geTiili,covered with snow
პირობაშ,pirobaS,to agree beforehand
დალონი,daloni,sunset
ჭოფუა,Wofua,to arrest
დოხაკაფა,doxakafa,to knock
დაკანოლება,dakanoleba,to legalize
ებარკანუა,ebarkanua,to roll up sleeves
დინაფა,dinafa,to lose
მიკოწაწაფა,mikowawafa,to touch
მიკოვალაფა,mikovalafa,to touch
დაკოჩება,dakoCeba,to become a man
დოკიბირელი,dokibireli,serrated
დოკვეცუა,dokvecua,to strike fire
გურიშგოჩამა,guriSgoCama,to observe
გურგოჩამილო,gurgoCamilo,attentively
გურგოჩამილი,gurgoCamili,attentive
ჸვილუა,Yvilua,domestic to slaughter animals
მუკობუნაფა,mukobunafa,to hang
დიაკითხაფა,diakiTxafa,to ask for the advice
კიროკილი,kirokili,curved
დაბაღინაფა,dabaRinafa,to satisfy
ჸვარუა,Yvarua,to castrate
აკოწენწილი,akowenwili,ragged
ჯუნუა,junua,to cover with kisses
დაქულება,daquleba,to limp
ნთხორუა,nTxorua,to bury
მოღვანკუა,moRvankua,to bend
ლოკონუა,lokonua,to curl
დონწყუალა,donwyuala,to tidy up
იკოლანძღუა,ikolanZRua,to swear
დორაგადაფა,doragadafa,to speak to
დორტუაფა,dortuafa,to soak
შუმა,Suma,to drink
ჩოლუა,Colua,end/to run out of to smth
ჩამა,Cama,to make smb. drink
ლექუა,lequa,e.g. some to deposit admixture from water
აკოჩხინკოლუა,akoCxinkolua,"e.g. glasses, to smash plates, etc"
ლებუა,lebua,to bruise
ხვამილი,xvamili,blessed
ლისმარუა,lismarua,to nail
ლუქუა,luqua,to seal
დარხინებული,darxinebuli,delighted
გემარდება,gemardeba,to reproach
დამაიმენდებელი,damaimendebeli,hopeful
დამაკება,damakeba,to mate
საშვალო,saSvalo,satisfactory
დამამცირებელი,damamcirebeli,humiliating
მარანგვალი,marangvali,destroying
ღოლამა,Rolama,to bring smth. on
ჯიმოლუა,jimolua,to salt
მიკოჭანაფა,mikoWanafa,to see alone
კაკალუა,kakalua,to separate grains form the bunch
დამარცხება,damarcxeba,to defeat
რჯგინა,rjgina,to defeat
გეძინა,geZina,to add
გეძინელო,geZinelo,in addition
გეძინელი,geZineli,additional
დამაფირქებელი,damafirqebeli,smth. that's worth thinking
დამაჭარებული,damaWarebuli,turned into a new wine
დაკილება,dakileba,to disfigure
მახსოვრუა,maxsovrua,to remember
დასაჯერებელი,dasajerebeli,convincing
სარწუმო,sarwumo,convincing
რტუაფილი,rtuafili,soaked
ტაბაჩა,tabaCa,pistol
ნდღულაფირი,ndRulafiri,melted
დანდურება,dandureba,to resent
დუღუა,duRua,to scald
დამაჸალება,damaYaleba,to make friends with
დამზადება,damzadeba,to prepare
მოჸინილი,moYinili,frost-bitten
გათება,gaTeba,to finish
დოტიბაფილი,dotibafili,warmed
დამთმობი,damTmobi,"pliable, pliant"
ბორო,boro,crazy
გეზიმაფა,gezimafa,to aim
დაკვიდრება,dakvidreba,"to lodge, to establish"
მოთოიჸუჯე,moToiYuje,observer
მანთხორალი,manTxorali,funeral
დამლაგებელი,damlagebeli,maid
დამნაშავე,damnaSave,guilty
დაკუნტარება,dakuntareba,to shorten
დაონჯღორება,daonjRoreba,to become shy
დამოჯგირება,damojgireba,to relate
დამოწვება,damowveba,"to testify, to witness"
ჸორადილი,Yoradili,rotten
დამჟავება,damJaveba,to sour
დარგვალება,dargvaleba,to round
გიმართელი,gimarTeli,sloping
მაგურაფალი,magurafali,"mentor, tutor"
მეგურაფა,megurafa,to become similar
მუმასვანჯებელი,mumasvanjebeli,vacationer
დოხარცქილი,doxarcqili,cracked
ტვერიშ,tveriS,to pollinate
ტახილი,taxili,broken
დაგემუანებული,dagemuanebuli,sweetened
დამტკიცება,damtkiceba,"to affirm, to prove"
დამუნჯება,damunjeba,to become dumb
დორცქინა,dorcqina,to threaten
დამუშება,damuSeba,to process
მაქირებელი,maqirebeli,employer
ჸონუა,Yonua,to engraft
დამჯერე,damjere,obedient
დასქვამება,dasqvameba,to beautify
დაშვიდება,daSvideba,to calm down
დოსქირაფილი,dosqirafili,completely dried
გერჩქინა,gerCqina,to leave a mark
დაკოლება,dakoleba,to become rancid
დამონკება,damonkeba,to make heavy
ალაჭვირი,alaWviri,burnt
ჭვირი,Wviri,burnt
ნაჭვი,naWvi,burn
დამონჭება,damonWeba,to ripen
მერაწკუა,merawkua,to line up
დოჭყვადილი,doWyvadili,"e.g. ropes, broken strings, etc"
დაჭკოლება,daWkoleba,is usual to become lean ly said about meat
შქვიდელი,Sqvideli,drowned
დოხუნელი,doxuneli,seated
ხამუ,xamu,knife
მიკონახებული,mikonaxebuli,saving
გენათუა,genaTua,ten)
დინაფილი,dinafili,loss
ნაკვაჩხირუა,nakvaCxirua,to burn to embers
ფეთუა,feTua,to tear
გეძინელი,geZineli,"smth. added, additional"
ნანდულო,nandulo,certainly
დალამოსება,dalamoseba,to appeal to smb's conscience
ფუჩხოლუა,fuCxolua,to crumble
დანანება,dananeba,to pity
ჭირაკუა,Wirakua,to wrinkle
გესოფუა,gesofua,to throw down
დუნატები,dunatebi,left
დანარტებული,danartebuli,"missed, wished"
კაკალუა,kakalua,to eat up
დაშებული,daSebuli,crime
ტუტათ,tutaT,to burn to ashes
დანირზება,danirzeba,to bet
ჭკაჭკუა,WkaWkua,to dismember
დორთუალა,dorTuala,to distribute
დახარჯებული,daxarjebuli,expense
დანდება,dandeba,to mercy
დანებება,danebeba,to give up
დანებება,danebeba,to surrender
ჟიჟინაფა,JiJinafa,to become damp
დაფოკვება,dafokveba,to grow mouldy
დაომბოლება,daomboleba,to become an orphan
დამონკათება,damonkaTeba,to impregnate
დაორსატება,daorsateba,to master
დაოჯახება,daojaxeba,to marry
დაჭიჭარება,daWiWareba,to diminish
დოძახინი,doZaxini,to invite
მინჯეთ,minjeT,to take possession on smth
ჩხაპუა,Cxapua,to sprinkle
დოხირცქუა,doxircqua,to chop
დოდიარაფა,dodiarafa,to feed
დაჩემება,daCemeba,to insist on smth
დაჩემებული,daCemebuli,insistent
ყარული,yaruli,guard
თხილუა,Txilua,to guard
დარბაზი,darbazi,hall
დოდგინელი,dodgineli,"calm, gentle and reserved person"
იკორულა,ikorula,to run around
დალიბარება,dalibareba,to soften
დარდი,dardi,sorrow
ჯარი,jari,sorrow
ბოხოჩა,boxoCa,carefree
მორსიოლაფა,morsiolafa,to fell giddy
რჩხუალა,rCxuala,to wash many things
,-,to wash many things
დარიშხანი,dariSxani,arsenic
სახელიშ,saxeliS,to name
დაონჯღორება,daonjRoreba,to be ashamed
დარწუმება,darwumeba,to convince
დარწუმებული,darwumebuli,sure
დაჯერებული,dajerebuli,sure
დაკირალი,dakirali,to be tied
დართინაფალი,darTinafali,to be returned
ოქოსალი,oqosali,to be swept
ოლანძღარი,olanZRari,to be blamed
ბჟადალი,bJadali,the West
ოთასალი,oTasali,to be seeded
დათმებელი,daTmebeli,to be conceded
ოდინაფალი,odinafali,to be lost
ოკილარი,okilari,to be locked
ოწილარი,owilari,to be harvested
დანწყუალი,danwyuali,to be arranged
ქიანაშ,qianaS,"ending, edge"
ოტყობინალი,otyobinali,to be hidden
ოფულარი,ofulari,to be hidden
გიოძინალი,gioZinali,to be added
გასაშინე,gasaSine,to be memorized
დამზადებელი,damzadebeli,to be prepared
დაკუნტარებელი,dakuntarebeli,to be shortened
ომტკიცებელი,omtkicebeli,to be proved
გიოჸონალი,gioYonali,to be engrafted
ოხვილარი,oxvilari,to be locked
ონარღებელი,onarRebeli,regrettable
ოკაკალი,okakali,to be pounded
ოძირაფალი,oZirafali,visible
დარზამალი,darzamali,to be lit
საოსურო,saosuro,single
საპონუა,saponua,to soap
ორჩხალი,orCxali,to be washed
ონახვალი,onaxvali,to be washed
გიორთაფალი,giorTafali,to be spinned
ორიგებელი,origebeli,to be advised
მიოგამალი,miogamali,to be stricken
ოსხუნალი,osxunali,to be selected
დათებუ,daTebu,end
დალია,dalia,end
ოუნთალი,ounTali,to be ironed
დასაფასებელი,dasafasebeli,to be valued
გასარჯება,gasarjeba,ploy)
დაბუნალი,dabunali,to be spilled
დარინაფალი,darinafali,to be stood
გიობიჯალი,giobijali,foothold
დაშვებელი,daSvebeli,permissible
დასქირაფალი,dasqirafali,to be dried
ძღვენიშ,ZRveniS,to reward
გაჩოლარი,gaColari,to be discharged
საონჯღორო,saonjRoro,blamable
ოჭარალი,oWarali,to be written
ოჭვალი,oWvali,to be burnt
ოწიმინდალი,owimindali,to be cleared
დაჭყაფუ,daWyafu,beginning
დანწყუალი,danwyuali,to be put
ოჭკირალი,oWkirali,to be cut
ჸვარუა,Yvarua,to emasculate
ოხანტალი,oxantali,to be painted
გიორთუაფალი,giorTuafali,bandage
დაკილება,dakileba,to lame
დოხორაფა,doxorafa,to settle down
გიოხუნალი,gioxunali,sitting
ციმინაფა,ciminafa,to mob
კირცხუა,kircxua,to hail
შოლუა,Solua,to wet
მოსვანჯება,mosvanjeba,to rest
გესიზმარაფა,gesizmarafa,to dream
აკოზისხირუა,akozisxirua,to cover with blood
დასინჩხება,dasinCxeba,to get sun-stroke
განაჩენიშ,ganaCeniS,to conclude
შიკინუა,Sikinua,to hiccup
გეხუნა,gexuna,to sit
დალახება,dalaxeba,to fall ill
დოციკაფა,docikafa,to stick into
დარსულება,darsuleba,to finish
დასუსთება,dasusTeba,to weaken
დასუფთება,dasufTeba,to clean
გებუნა,gebuna,to pour into
გებუნა,gebuna,to bear fruit
გენთხაფა,genTxafa,to attack
